created,username,source,text,retwc,hashtag,followers,friends,polarity,geolocation,geoenable
2021-06-28 11:12:00,Lalaine Razon,Twitter for Android,RT @helen_0902: Good morning LORD JESUS. Thank You for waking me up &amp; giving me another day to live to enjoy Your blessings. Good Monday mo…,121,None,23,71,0.48409090909090907,"Imus, Calabarzon",False
2021-06-28 11:12:00,SUGOI | Juushichi @ #GGST_MI,Twitter Web App,"RT @jiyunaJP: When Co-Op Cup was cancelled this year due to COVID-19, they ran a special FT10 exhibition at the arcade so the community had…",55,None,2500,802,0.11607142857142858,"Columbus, Ohio (He/Him)",False
2021-06-28 11:12:00,NHS Tayside,TweetDeck,"I don’t have symptoms but I’m still getting tested.

To stop the spread and keep moving forward everyone can now ge… https://t.co/XKRmrsHAkd",0,None,17421,242,0.0,Tayside,True
2021-06-28 11:12:00,Science at Sheffield,TweetDeck,"A new study has found people turned to sweets, chocolate and salty snacks during the Covid-19 lockdowns in the UK a… https://t.co/81pmBvdrHI",0,None,2714,302,0.13636363636363635,Sheffield: Science City,False
2021-06-28 11:12:00,Cakeface 😊 🌸,Twitter for Android,RT @AllisonPearson: Remember these are only “cases” not ill people. With such a low prevalence of COVID the number of false positives will…,136,None,515,1761,-0.030000000000000016,,False
2021-06-28 11:12:00,The hand man🧤,Twitter for Android,Covid-19 went along with it 😅 https://t.co/noUGFQLaF1,0,None,80,791,0.0,"Kampala, Uganda",False
2021-06-28 11:12:00,Fairbrit,Twitter Web App,"RT @Gabriel_Pogrund: IN FULL 🚨 Leaked minutes in which DHSC's 2nd permanent secretary describes Matt Hancock's use of his private Gmail

Me…",610,None,2601,1152,0.11666666666666665,East Sussex,False
2021-06-28 11:11:59,Cazawaty#Zanumustgo #SKILLEDREBARA,Twitter Web App,"RT @daddyhope: When some Zimbabweans say Rhodesia was better, they are not saying racism was better or they want to go back to Rhodesia!
Th…",3,None,6031,4185,0.3333333333333333,#IamHopewell #IamTawanda ,False
2021-06-28 11:11:59,Nitten,Twitter Web App,RT @SkyNews: BREAKING: Research shows a third dose of the AstraZeneca #COVID19 vaccine at least six months after the second jab would boost…,21,COVID19,726,2957,-0.09999999999999999,"Pune, India",False
2021-06-28 11:11:59,Jamie Mirazzo,Twitter for Android,RT @U_Siphoz: @DrMkhize4 *87 admissions (this morning). High Care is full (all Covid). Medical ICU is full (all Covid) and Surgical ICU is…,1,None,5247,1368,0.215,"Johannesburg, South Africa",True
2021-06-28 11:11:59,Trisha Wade 🕷️#FBPE 🇪🇺🐟💙#FBPA,Twitter for Android,"RT @dgurdasani1: Why wasn't he sacked for policies that led to &gt;150,000 people dying, &gt;1 million people living with long COVID, &amp; allowing…",33,None,2303,2162,-0.05,,True
2021-06-28 11:11:59,One Liner News,Integromat,"Parliamentary panel meet on Covid, discusses 3rd wave status, preparation, vaccine efficacy

Read @ANI Story |… https://t.co/FNG9vYFrlc",0,None,294,393,0.0,Global,True
2021-06-28 11:11:59,Darwin1800,Twitter for Android,"RT @MelindaPerle: The CDC says if you are fully vaccinated, as I am, you can ""resume activities without wearing a mask or physical distanci…",4783,None,2201,5001,0.0,,False
2021-06-28 11:11:59,Maw Maw Htun,Twitter for Android,RT @KoPaing64760558: An illegitimate military junta is incapable of successfully managing a crisis like Covid-19.There is no public trust s…,1,None,238,235,0.21666666666666667,United States,False
2021-06-28 11:11:59,iman-keangkasa,Twitter for Android,@henrylim96 @Ghows @aizad_z @MYVaccineCount @CovidGraphs I wonder if we have public data for daily covid cases in s3 bucket from KKM?,0,None,1,22,0.0,,False
2021-06-28 11:11:58,अतुल,Twitter for Android,RT @anjayaaTOI: Nagpur: District registered zero Covid death for 2nd consecutive day &amp; 4th time in last 9 days on Monday. 24 tested positiv…,1,None,168,1346,0.0,"Maharashtra, India",False
2021-06-28 11:11:58,arctichamster 🐼😎🐒,Twitter for iPhone,RT @WolfBaginski: @ArnicaxRoss The pro mixes also include potassium (bananas are a source) but that's less important unless there's diarrho…,1,None,2752,4994,0.11666666666666668,San Diego | Norwalk CT,True
2021-06-28 11:11:58,ℋ𝓉ℴℴ,Twitter for iPhone,"These are how illegitimate military junta being incapable of successfully managing a crisis like Covid-19, so far d… https://t.co/SVSunqix26",0,None,148,158,0.25,United States,False
2021-06-28 11:11:58,Vincen_#SaveMyanmar,Twitter for Android,"These are how illegitimate military junta being incapable of successfully managing a crisis like Covid-19, so far d… https://t.co/c4BLOJTPIG",0,None,1119,2112,0.25,Germany,False
2021-06-28 11:11:58,Aman,Twitter for iPhone,"RT @bharat_builder: ""In January and February, Covid cases came down, so work slowed down. We are working on this,” Joint Secretary (Health,…",7,None,33,330,-0.15555555555555559,,False
2021-06-28 11:11:58,Karen,Twitter Web App,RT @dhuckelbridge: Maybe these members of Congress have never given birth. Held a dying parent’s hand. Faced an injury or diagnosis and bee…,274,None,139,392,0.0,,False
2021-06-28 11:11:58,David Warwick,Twitter for iPhone,"Day 3 of 14(?) of Sydney Covid Lockdown 🔒 It’s Covid Moscow Mules 🍸 for nighttime viewing. OK sue me, two amazing d… https://t.co/iwGZS5sRIE",0,None,15381,12258,0.55,"Sydney, New South Wales",True
2021-06-28 11:11:58,Peter Gillibrand,Twitter Web App,@Jones2Alison It's the Education Minister at the podium today so he might say more about COVID and schools.,0,None,7142,4441,0.5,"Cardiff, Wales",True
2021-06-28 11:11:58,Horney & Vaccinated ANTIFA Secretary,Twitter Web App,"RT @ColleenHenley: I’ve been very ill since I had Covid in January. This has greatly affected my life, as well as my family’s. 

People are…",142,None,3645,4994,0.07500000000000001,"Now:NH~Prev:CA, FL, RI, MA, ME",False
2021-06-28 11:11:57,"Richard Payne, Director • Baker Payne PropGrp.",Twitter for iPad,"RT @SkyNews: ""I want to see life going back to normal as soon as possible"", says health secretary Sajid Javid, adding that lifting lockdown…",3,None,268,166,0.049999999999999996,United Kingdom,True
2021-06-28 11:11:57,tonys12,Twitter for Android,RT @Dr_Ellie: When people say “data not dates” do they ever collect data on non-Covid harms…….waiting lists….financial losses…..CAMHS refer…,157,None,239,1014,0.0,"England, United Kingdom",False
2021-06-28 11:11:57,Brandon Scales,Twitter Web App,"RT @USATODAY: Next Sunday marks the Fourth of July, President Joe Biden's target date of getting 70% of adult Americans at least partially…",3,None,12,3163,-0.06,,False
2021-06-28 11:11:57,Aye Chan Pyae,Twitter for Android,"CDM government servants of Ministry of Agriculture, Livestock, and Irrigation,Department of Cooperatives are being… https://t.co/yvHmk3kp1R",0,None,58,66,0.0,United States,False
2021-06-28 11:11:57,Scottie Simpson,Twitter for iPhone,@danfaznari Mr Covid stole me juices fill me up,0,None,1329,174,0.0,Melbourne,False
2021-06-28 11:11:57,Ethan.k4,Twitter for Android,"CDM government servants of Ministry of Agriculture, Livestock, and Irrigation,Department of Cooperatives are being… https://t.co/6gbyGcSoAb",0,None,82,75,0.0,United States,False
2021-06-28 11:11:56,Mandy Ved,Twitter Web App,"RT @CAChirag: Providing Loan is not a great measure nor it gives any relief during covid. Its only adds debt 

Business needs relief in Tax…",23,None,17,25,-0.2,"Siliguri, West Bengal",False
2021-06-28 11:11:56,WsquareNews,WordPress.com,West Bengal extends COVID-19 lockdown till July 15 https://t.co/zHuAdInuIJ,0,None,2263,34,0.0,Itanagar,False
